,track_name,song_id,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,duration_ms,time_signature,cluster
11576,Hu Trur Hu Eier Afterski`n,2qgu1XSNZB8IJB2iIjkouB,Borderland,5xsrIpIY1wxWZOqp2Bg8p2,0.694,0.78,7,-9.726,0,0.0611,0.0504,0.0,0.224,0.667,128.067,spotify:track:2qgu1XSNZB8IJB2iIjkouB,https://api.spotify.com/v1/tracks/2qgu1XSNZB8IJB2iIjkouB,https://api.spotify.com/v1/audio-analysis/2qgu1XSNZB8IJB2iIjkouB,208125,4,1
11577,Hu Trur Hu Eier Afterski`n,2qgu1XSNZB8IJB2iIjkouB,Becca,6vMTJy1XlG5FzAuuSLLTAX,0.694,0.78,7,-9.726,0,0.0611,0.0504,0.0,0.224,0.667,128.067,spotify:track:2qgu1XSNZB8IJB2iIjkouB,https://api.spotify.com/v1/tracks/2qgu1XSNZB8IJB2iIjkouB,https://api.spotify.com/v1/audio-analysis/2qgu1XSNZB8IJB2iIjkouB,208125,4,1
11578,Let's Get Out,5wrLNLqC2V673vLAI9OIIW,Natalia Lafourcade,1hcdI2N1023RvSwLzTtdsp,0.505,0.799,11,-5.745,0,0.0527,0.175,0.00368,0.0667,0.797,84.873,spotify:track:5wrLNLqC2V673vLAI9OIIW,https://api.spotify.com/v1/tracks/5wrLNLqC2V673vLAI9OIIW,https://api.spotify.com/v1/audio-analysis/5wrLNLqC2V673vLAI9OIIW,241040,4,1
11579,Don't Let Me Down,1i1fxkWeaMmKEB4T7zqbzK,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803,spotify:track:1i1fxkWeaMmKEB4T7zqbzK,https://api.spotify.com/v1/tracks/1i1fxkWeaMmKEB4T7zqbzK,https://api.spotify.com/v1/audio-analysis/1i1fxkWeaMmKEB4T7zqbzK,208373,4,8
11580,Don't Let Me Down,1i1fxkWeaMmKEB4T7zqbzK,Daya,6Dd3NScHWwnW6obMFbl1BH,0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803,spotify:track:1i1fxkWeaMmKEB4T7zqbzK,https://api.spotify.com/v1/tracks/1i1fxkWeaMmKEB4T7zqbzK,https://api.spotify.com/v1/audio-analysis/1i1fxkWeaMmKEB4T7zqbzK,208373,4,8
11581,Daylight,57i3M29DWoo7RDk0Tf0LZG,Matt and Kim,4MSMDY0ClgWqXApU53I1L1,0.57,0.798,9,-4.92,1,0.0323,0.102,0.000128,0.178,0.671,103.303,spotify:track:57i3M29DWoo7RDk0Tf0LZG,https://api.spotify.com/v1/tracks/57i3M29DWoo7RDk0Tf0LZG,https://api.spotify.com/v1/audio-analysis/57i3M29DWoo7RDk0Tf0LZG,171333,4,0
11582,Daydream,7k2lqQ4Vt9435X24qUISki,Ciele,1ox8Ch0uaAeuJvVyKO8Okg,0.685,0.212,4,-11.233,1,0.0354,0.698,4.48e-05,0.166,0.307,139.955,spotify:track:7k2lqQ4Vt9435X24qUISki,https://api.spotify.com/v1/tracks/7k2lqQ4Vt9435X24qUISki,https://api.spotify.com/v1/audio-analysis/7k2lqQ4Vt9435X24qUISki,218404,3,3
11583,Daydream,7k2lqQ4Vt9435X24qUISki,Chris Ho,3RKOByto5bCzCDjK5ViM6w,0.685,0.212,4,-11.233,1,0.0354,0.698,4.48e-05,0.166,0.307,139.955,spotify:track:7k2lqQ4Vt9435X24qUISki,https://api.spotify.com/v1/tracks/7k2lqQ4Vt9435X24qUISki,https://api.spotify.com/v1/audio-analysis/7k2lqQ4Vt9435X24qUISki,218404,3,3
11584,Day & Night,4QdOqIVngsJOyZDsdslxz8,Thundercat,4frXpPxQQZwbCu3eTGnZEw,0.722,0.489,5,-14.218,1,0.0424,0.371,0.683,0.112,0.533,95.072,spotify:track:4QdOqIVngsJOyZDsdslxz8,https://api.spotify.com/v1/tracks/4QdOqIVngsJOyZDsdslxz8,https://api.spotify.com/v1/audio-analysis/4QdOqIVngsJOyZDsdslxz8,37397,4,2
11585,Daydreamer,5Z0yP7nqSVpedq48IqLZC2,Adele,4dpARuHxo51G3z768sgnrY,0.807,0.105,9,-13.188,1,0.0412,0.964,0.0,0.103,0.372,109.014,spotify:track:5Z0yP7nqSVpedq48IqLZC2,https://api.spotify.com/v1/tracks/5Z0yP7nqSVpedq48IqLZC2,https://api.spotify.com/v1/audio-analysis/5Z0yP7nqSVpedq48IqLZC2,220507,4,7
11586,Daylight,6YlXtht14hfBHVZ0cXTbwQ,Yelawolf,68DWke2VjdDmA75aJX5C57,0.546,0.9,0,-6.499,1,0.441,0.251,0.0,0.125,0.388,80.614,spotify:track:6YlXtht14hfBHVZ0cXTbwQ,https://api.spotify.com/v1/tracks/6YlXtht14hfBHVZ0cXTbwQ,https://api.spotify.com/v1/audio-analysis/6YlXtht14hfBHVZ0cXTbwQ,289373,4,5
